year,resp_id,agency,LOAN_TYPE,prop_type,PURPOSE,OCCUPANCY,AMNTCH,amnt,pre_app,ACTION,ma,state,county,tract,app_eth,coapp_eth,app_race1,app_race2,app_race3,app_race4,app_race5,coap_race1,coap_race2,coap_race3,coap_race4,coap_race5,app_sex,coapp_sex,app_incch,app_inc,purch_type,denial1,denial2,denial3,spreadch,spread,hoepa,lienstatus,EDITSTATUS,seqno,POPCH,POP,MINPOPCH,MINPOP,MED_INCCH,MED_INC,TCT2MSACH,TCT2MSA,OWNOCCCH,OWNOCC,OWNOCC4CH,OWNOCC4,app_flag
2011,0000451965,9,1,1,1,1,00264,264,3,6,34820,45,051,0516.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101347,00007371,7371,010.53,10.53,00054300,54300,108.36,108.36,00002824,2824,00003726,3726,2
2011,0000451965,9,1,1,1,2,00145,145,3,6,34820,45,051,0513.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101355,00004396,4396,002.66,2.66,00054300,54300,109.59,109.59,00001626,1626,00004152,4152,2
2011,0000451965,9,1,1,1,2,00093,93,3,6,34820,45,051,0514.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101361,00006294,6294,004.35,4.35,00054300,54300,094.06,94.06,00002609,2609,00002631,2631,2
2011,0000451965,9,1,1,1,1,00108,108,3,6,34820,45,051,0514.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101366,00006972,6972,007.09,7.09,00054300,54300,131.35,131.35,00002375,2375,00002796,2796,2
2011,0000451965,9,2,1,1,1,00165,165,3,6,34820,45,051,0602.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0102125,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,2
2011,0000451965,9,1,1,1,2,00099,99,3,6,34820,45,051,0602.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0102341,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,1,1,3,2,00104,104,3,6,34820,45,051,0602.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0102473,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,2,1,1,1,00157,157,3,6,34820,45,051,0515.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0103755,00010010,10010,017.69,17.69,00054300,54300,109.78,109.78,00002654,2654,00003800,3800,2
2011,0000451965,9,2,1,1,1,00173,173,3,6,34820,45,051,0602.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0104193,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,2
2011,0000451965,9,2,1,3,1,00198,198,3,6,34820,45,051,0704.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0104397,00003412,3412,072.07,72.07,00054300,54300,065.74,65.74,00000742,742,00001262,1262,2
